,wind in knots,  speed in knots,,,,,,,,,,,,,,,,,,
angle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
32,,1,,1.99,,03.03,,3.95,,4.68,,05.21,,05.56,,5.79,,,,5.98
36,,01.16,,02.39,,03.06,,04.57,,05.03,,5.81,,06.14,,06.34,,,,06.52
40,,01.32,,2.72,,04.05,,05.07,,05.08,,06.27,,06.54,,6.69,,,,6.85
45,,01.49,,03.08,,04.49,,05.54,,06.28,,6.66,,6.86,,6.98,,,,07.13
52,,1.69,,03.48,,4.96,,06.03,,6.69,,7,,07.16,,07.26,,,,07.42
60,,1.86,,03.08,,05.31,,06.37,,6.95,,07.26,,07.04,,07.51,,,,7.67
70,,1.99,,04.04,,05.56,,06.57,,07.11,,07.45,,7.64,,7.75,,,,7.93
80,,02.13,,04.27,,5.89,,6.76,,07.15,,07.51,,7.77,,7.94,,,,08.15
90,,02.27,,04.51,,06.14,,6.95,,07.26,,07.47,,7.74,,7.98,,,,08.33
100,,02.31,,04.59,,06.22,,07.05,,07.41,,7.62,,7.78,,7.93,,,,08.27
110,,02.25,,04.49,,06.11,,6.99,,07.47,,7.73,,7.92,,08.01,,,,08.41
120,,02.08,,04.19,,5.78,,06.08,,07.38,,7.79,,08.08,,08.29,,,,8.65
130,,1.83,,3.74,,05.32,,06.49,,07.17,,7.63,,08.02,,08.39,,,,8.92
135,,01.07,,03.05,,05.05,,06.26,,07.01,,07.05,,07.09,,08.28,,,,9
140,,01.58,,03.24,,4.76,,5.97,,6.81,,07.34,,7.75,,08.13,,,,08.09
150,,01.33,,2.73,,04.01,,05.27,,06.27,,6.94,,07.42,,7.81,,,,08.58
160,,01.16,,02.37,,03.58,,04.07,,05.07,,06.53,,07.11,,07.54,,,,08.28
170,,01.05,,02.14,,03.24,,04.03,,05.26,,06.12,,6.79,,07.27,,,,8
180,,1,,1.97,,2.99,,3.98,,04.09,,5.74,,06.47,,7,,,,7.75
